date,equity_pc_ratio,total_pc_ratio,index_pc_ratio,etp_pc_ratio,vix_pc_ratio,spx_pc_ratio,oex_pc_ratio,mrut_pc_ratio,mxea_pc_ratio,mxef_pc_ratio,mxacw_pc_ratio,mxwld_pc_ratio,mxusa_pc_ratio,cbtx_pc_ratio,mbtx_pc_ratio,speqx_pc_ratio,speqw_pc_ratio,mgtn_pc_ratio,mgtnw_pc_ratio,equity_call,equity_put,equity_total,equity_oi_call,equity_oi_put,equity_oi_total,total_call,total_put,total_total,total_oi_call,total_oi_put,total_oi_total,index_call,index_put,index_total,index_oi_call,index_oi_put,index_oi_total,etp_call,etp_put,etp_total,etp_oi_call,etp_oi_put,etp_oi_total,vix_call,vix_put,vix_total,vix_oi_call,vix_oi_put,vix_oi_total,spx_call,spx_put,spx_total,spx_oi_call,spx_oi_put,spx_oi_total,source
2010-11-12,0.63,1,,,,,,,,,,,,,,,,,,1632803,1034598,2667401,,,,2700599,2708339,5408938,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2010-11-15,0.55,0.77,,,,,,,,,,,,,,,,,,1464588,798644,2263232,,,,2222202,1710792,3932994,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2010-11-16,0.66,0.92,,,,,,,,,,,,,,,,,,1701132,1127325,2828457,,,,3183996,2944585,6128581,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2010-11-17,0.56,0.89,,,,,,,,,,,,,,,,,,1452097,813984,2266081,,,,2476858,2199574,4676432,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2010-11-18,0.53,0.81,,,,,,,,,,,,,,,,,,1651029,878785,2529814,,,,2849309,2321750,5171059,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2010-11-19,0.56,0.66,,,,,,,,,,,,,,,,,,1819150,1018951,2838101,,,,3227943,2141897,5369840,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2010-11-22,0.56,0.77,,,,,,,,,,,,,,,,,,1458376,819018,2277394,,,,2193364,1690699,3884063,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2010-11-23,0.7,0.92,,,,,,,,,,,,,,,,,,1225284,859963,2085247,,,,1971601,1818649,3790250,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2010-11-24,0.53,1.05,,,,,,,,,,,,,,,,,,1063199,561210,1624409,,,,1708333,1788396,3496729,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2010-11-26,0.64,0.83,,,,,,,,,,,,,,,,,,470043,300576,770619,,,,916040,762209,1678249,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
